wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc
3.1,11,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
3.2,12,22,2,0,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1
3,11,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
6,8,44,28,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
5.3,12,7,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8.8,16,9,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
11,18,15,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
5,12,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3.6,12,26,4,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0
18,17,22,21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
6.3,16,8,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
8.1,13,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
8.8,12,15,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
5.5,12,18,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
22,12,31,15,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
17,16,14,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
7.5,12,10,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
11,13,16,10,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
3.6,12,13,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
4.5,12,36,6,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
6.9,12,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
8.5,12,29,13,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
6.3,16,9,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0.53,12,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
6,11,37,8,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
9.6,16,3,3,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0
7.8,16,11,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
13,16,31,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
13,15,30,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0
